Ruta;Descripción;Km por Viaje;Tarifa Vigente
;SAN JOSE-DESAMPARADOS-LA CAPRI;9,9;245
;;;
121;SAN JOSE-ASERRI Y RAMALES;(GPS);
;SAN JOSE-ASERRI-Bº MARIA AUXILIADORA;12,095;295
;SAN JOSE-ASERRI-Bº MERCEDES;11,87;295
;SAN JOSE-ASERRI-Bº LOURDES;11,785;295
;SAN JOSE-ASERRI-Bº CORAZON DE JESUS;12,49;295
;SAN JOSE-ASERRI-SALITRILLOS;11,77;295
;SAN JOSE-ASERRI-SANTA TERESITA;10,05;295
;;;
75-75 A- 75 B;SAN JOSE-PASO ANCHO Y RAMALES;(GPS);
;SAN JOSE-PASO ANCHO-SANTA ROSA;5,2;240
;SAN JOSE-PASO ANCHO-LOMA LINDA;5,1;240
;SAN JOSE-MONTE AZUL-SEMINARIO;5,7;240
;;;
74-76 ;SAN JOSE-Bº SAN MARTIN-UMARA Y ZOROBARU-LUNA PARK ;(GPS);
;SAN JOSE-Bº SAN MARTIN-UMARA;5,1;240
;SAN JOSE-LUNA PARK-ZOROBARU;2,5;240
;;;
81;SAN JOSE-SAN SEBASTIAN-LOPEZ MATEOS;(GPS);
;SAN JOSE-LOPEZ MATEO;4,7;240
;;;
80 BS;SAN JOSE-SAN RAFAEL ABAJO (BUSETAS);;
;SAN JOSE-SAN RAFAEL ABAJO;6,1;165
;;;
80-80 A-84-85-86;SAN JOSE-SAN RAFAEL-SAN JUAN-POAS;(GPS);
;SAN JOSE-SAN RAFAEL ABAJO;5,95;240
;SAN JOSE-SAN RAFAEL ABAJO-Bº LAS FUENTES;6,95;240
;SAN JOSE-SAN RAFAEL ABAJO-Bº VALENCIA;5,85;240
;SAN JOSE-SAN JUAN DE DIOS DE DESAMPARADOS;8,45;240
;SAN JOSE-SAN RAFAEL ARRIBA;8,55;240
;SAN JOSE-POAS DE ASERRI;10,3;255
;SAN JOSE-POAS-SAN JOSE DE LA MONTAÑA;11,55;255
;SAN JOSE-POAS-LAMPARAS;11,065;255
;;;
82;SAN JOSE-SAN SEBASTIAN-COLONIA KENNEDY;(GPS);
;SAN JOSE-SAN SEBASTIAN-COLONIA KENNEDY;4,72;195
;;;
90-91;SAN JOSE-HATILLO Y RAMALES;(GPS);
;SAN JOSE-HATILLO 1 Y 2;4,805;255
;SAN JOSE-HATILLO 3 Y 4;5,095;255
;SAN JOSE-HATILLO 5;5,05;255
;SAN JOSE-COLONIA 15 DE SETIEMBRE;4,495;255
;SAN JOSE-Bº CRISTO REY-Bº SAGRADA FAMILIA;2,72;255
;SAN JOSE-HATILLO 6 Y 7;6,175;255
;SAN JOSE-HATILLO 8;5,435;255
;;;
94 G;SAN JOSE-ALAJUELITA-IMAS-LA AURORA;(GPS);
;SAN JOSE-ALAJUELITA-IMAS-LA AURORA;8,401666667;255
;;;
83;SAN JOSE-CONCEPCION DE ALAJUELITA POR SAN SEBASTIAN;(GPS);
;SAN JOSE-CONCEPCION DE ALAJUELITA;6,4;235
;SAN JOSE-CONCEPCION-VISTA REAL-MONTE ALTO;7,2;235
;;;
94;SAN JOSE-ALAJUELITA Y RAMALES;(GPS);
;SAN JOSE-ALAJUELITA-EL LLANO;8,605;250
;SAN JOSE-ALAJUELITA-LOS FILTROS;6,905;250
;SAN JOSE-ALAJUELITA-SAN FELIPE;6,35;250
;SAN JOSE-ALAJUELITA-TEJARCILLOS;6,77;250
;SAN JOSE-ALAJUELITA-CONCEPCION;7,54;250
;SAN JOSE-ALAJUELITA-GERANIOS-ESQUIPULAS;6,36;250
;SAN JOSE-ALAJUELITA-COCHEA;6,93;250
;SAN JOSE-ALAJUELITA-LA CHOROTEGA;6,905;250
;SAN JOSE-ALAJUELITA-LA VERBENA;6,765;250
;;;
120;SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES;(GPS);
;SAN JOSE-RODILLAL;10,95;345
;SAN JOSE-HIGUITO-ENCINALES;10,9;345
;SAN JOSE-HIGUITO-CALLE VALVERDE-SANTA BARBARA;10,7;345
;SAN JOSE-HIGUITO-EL LLANO;10,85;345
;SAN JOSE-HIGUITO-EL HUAZO;10,05;345
;SAN JOSE-URB EL LINCE DE HIGUITO;10,35;345
;SAN JOSE-HIGUITO-SABANILLAS;10,8;345
;;;
120 A;SAN JOSE-LOS GUIDOS;(GPS);
;SAN JOSE-LOS GUIDOS-CASA CUBA;10,495;325
;SAN JOSE-LOS GUIDOS-CEMENTERIO;10,9;325
;;;
;PROVINCIA DE SAN JOSE;;
;;;
100;SAN JOSE-SAN ISIDRO DE EL GRAL (SERVICIO REGULAR);(GPS);
;SAN JOSE-SAN ISIDRO DE EL GRAL;131,79;3335
;SAN JOSE-OJO DE AGUA;83,5;2085
;SAN JOSE-LA TRINIDAD;61,55;1860
;SAN JOSE-EL EMPALME;49,85;1620
;SAN JOSE-CRUCE LA SIERRA;48,8;1495
;SAN ISIDRO-VILLA MILLS (CERRO);42,4;1495
;SAN ISIDRO-NIVEL;35;1405
;SAN ISIDRO-DIVISION;29,3;1115
;SAN ISIDRO-EL JARDIN;25;1115
;;;
100 SD;SAN JOSE-SAN ISIDRO DE EL GRAL (SERVICIO DIRECTO);(GPS);
;SAN JOSE-SAN ISIDRO DE EL GRAL;131,79;3335
;;;
102;PURISCAL-ESTERO-CRUCE A TABARCIA;(GPS);
;PURISCAL-CRUCE A TABARCIA;8,82;270
;PURISCAL-GUAYABO;7,7;270
;PURISCAL-FILA DE MORA;6,15;270
;PURISCAL-ESTERO;3,9;270
;PURICAL-SAN ANTONIO;2,59;270
;;;
102 EXT;PURISCAL-SAN ANTONIO ABAJO;(GPS);
;PURISCAL-SAN ANTONIO ABAJO;5,75;290
;;;
102 EXT;PURISCAL-TABARCIA-PALMICHAL;(GPS);
;PURISCAL-FILA DE ACOSTA;18,85;605
;PURISCAL-PALMICHAL;17,6;605
;PURISCAL-TABARCIA;13,3;430
;;;
129;PURISCAL-JARIS DE MORA;(GPS);
;PURISCAL-JARIS DE MORA;8,97;250
;PURISCAL-NARANJITO;4;170
